user_id,scheme_name,gender,age,marital_status,state,area_of_residence,social_category,minority_status,disability_status,bpl_category,is_student,employment_status,occupation,income_annum,single_parent_child,risk_score
45657,Old Age Pension,Male,73,Married,Telangana,Rural,General,Yes,Yes,BPL,No,Unemployed,None,125130,Yes,0.8837666108365276
15593,Post Matric Scholarship for SC Students,Other,21,Widow,Andhra Pradesh,Urban,SC,Yes,No,APL,Yes,Unemployed,Student,534792,Yes,0.8095651500802316
87260,Old Age Pension,Other,61,Married,Delhi,Rural,SC,No,No,BPL,No,Unemployed,None,139874,Yes,0.7997612068811472
14365,Pradhan Mantri Awas Yojana (Rural),Other,27,Married,Maharashtra,Rural,OBC,No,Yes,BPL,No,Government Employed,Labourer,41485,Yes,1.0
60793,Atal Pension Yojana,Other,34,Unmarried,Karnataka,Rural,ST,Yes,Yes,APL,No,Employed,Shopkeeper,573376,No,0.7830727871976382
43478,Post Matric Scholarship for SC Students,Other,21,Divorced,Kerala,Urban,SC,Yes,No,BPL,Yes,Unemployed,Student,82256,Yes,1.0
43546,Pradhan Mantri Gramin Awaas Yojana,Male,21,Divorced,Kerala,Rural,General,No,No,BPL,No,Unemployed,Doctor,149730,No,0.7795592690752324
80744,Skill India Mission,Female,33,Unmarried,Telangana,Urban,OBC,No,No,APL,No,Private Employed,Unemployed,556246,Yes,0.629670292087268
16260,Atal Pension Yojana,Female,38,Widow,Delhi,Urban,OBC,No,No,APL,No,Unemployed,Labourer,1401747,No,0.6594285768646497
35158,Pradhan Mantri Shram Yogi Maandhan (PM-SYM),Other,21,Widow,Tamil Nadu,Rural,General,Yes,No,BPL,No,Unemployed,Farmer,92255,Yes,0.9325288463840089
32056,National Health Mission,Female,30,Unmarried,Rajasthan,Urban,General,Yes,No,APL,Yes,Employed,Student,361637,No,0.6494642882045416
98029,National Health Mission,Female,47,Widow,Telangana,Urban,ST,No,Yes,BPL,No,Unemployed,Labourer,114130,Yes,1.0
73958,Pradhan Mantri Awas Yojana (Rural),Male,32,Married,Karnataka,Rural,General,Yes,No,BPL,No,Unemployed,Engineer,56252,Yes,0.9265819297856446
52386,Skill India Mission,Other,34,Unmarried,Andhra Pradesh,Urban,ST,Yes,Yes,BPL,No,Employed,Student,66235,No,1.0
98845,Maternity Benefit,Female,18,Married,Tamil Nadu,Urban,General,No,Yes,BPL,No,Self Employed,Engineer,83068,No,0.841795923835551
45598,National Fellowship for OBC Students,Other,25,Widow,Tamil Nadu,Rural,OBC,No,Yes,APL,Yes,Unemployed,Student,646407,Yes,0.9141784163995897
66490,Old Age Pension,Other,82,Unmarried,Maharashtra,Urban,OBC,Yes,No,BPL,No,Unemployed,None,20081,No,0.8457609591632961
43958,Ayushman Bharat (PM-JAY),Male,31,Divorced,Andhra Pradesh,Rural,SC,No,No,BPL,No,Self Employed,Teacher,71769,Yes,0.8591435107039256
87559,Atal Pension Yojana,Male,33,Unmarried,Delhi,Urban,OBC,Yes,No,BPL,No,Government Employed,Farmer,64865,No,0.6467393444619284
96827,Janani Suraksha Yojana,Female,18,Married,Andhra Pradesh,Rural,OBC,No,No,BPL,No,Unemployed,Self Employed,132258,Yes,0.6135512644020221
11701,Old Age Pension,Female,76,Unmarried,Telangana,Urban,ST,No,Yes,BPL,No,Unemployed,None,58652,No,0.9920432403286109
79317,Sukanya Samriddhi Yojana,Female,2,Unmarried,Uttar Pradesh,Rural,General,No,Yes,BPL,No,Self Employed,None,110632,Yes,1.0
54363,Small Business Loan,Female,58,Widow,Bihar,Rural,OBC,No,Yes,BPL,No,Self Employed,Self Employed,34831,No,1.0
25695,Start-up Village Entrepreneurship Programme,Male,27,Divorced,Delhi,Rural,OBC,No,Yes,APL,No,Self Employed,Doctor,646836,Yes,0.8554426769344975
33874,National Fellowship for OBC Students,Other,24,Widow,Delhi,Rural,OBC,No,Yes,APL,Yes,Unemployed,Student,1402760,Yes,0.844506920870377
94592,Ujjwala Yojana,Female,27,Divorced,Telangana,Rural,SC,No,No,BPL,No,Employed,Engineer,67835,Yes,0.9563925983865509
39467,Sukanya Samriddhi Yojana,Female,0,Unmarried,Karnataka,Rural,SC,No,Yes,BPL,No,Government Employed,None,12267,Yes,1.0
24084,Post Matric Scholarship for SC Students,Male,17,Unmarried,Karnataka,Rural,SC,No,Yes,BPL,Yes,Unemployed,Student,27385,No,1.0
14890,Sukanya Samriddhi Yojana,Female,6,Unmarried,Bihar,Rural,OBC,Yes,Yes,BPL,No,Government Employed,None,55398,Yes,1.0
39115,Student Scholarship,Other,23,Unmarried,Kerala,Rural,SC,No,No,APL,Yes,Unemployed,Student,1323198,Yes,0.7763279865426682
46565,Atal Pension Yojana,Other,33,Married,Andhra Pradesh,Urban,ST,No,Yes,APL,No,Self Employed,Shopkeeper,535319,No,0.750432442377925
57862,Agri-Clinics and Agri-Business Centres,Female,39,Unmarried,Uttar Pradesh,Rural,SC,No,Yes,BPL,No,Private Employed,Student,112096,Yes,1.0
49811,Van Dhan Yojana,Female,30,Unmarried,Kerala,Rural,ST,Yes,Yes,APL,Yes,Unemployed,Student,1895778,No,0.8843733411096979
25445,Small Business Loan,Male,59,Divorced,Karnataka,Urban,SC,Yes,Yes,APL,No,Self Employed,Auto Driver,1172627,Yes,1.0
54949,Agri-Clinics and Agri-Business Centres,Female,27,Unmarried,Telangana,Rural,General,No,Yes,BPL,No,Private Employed,Student,10945,No,1.0
53988,Agri-Clinics and Agri-Business Centres,Other,23,Unmarried,Tamil Nadu,Rural,SC,Yes,Yes,BPL,No,Self Employed,Student,120848,Yes,0.9791537422825605
62922,National Fellowship for OBC Students,Other,22,Unmarried,Karnataka,Rural,OBC,No,Yes,BPL,Yes,Unemployed,Student,120190,Yes,0.9395218891739336
53315,Stand-Up India,Female,26,Married,Delhi,Rural,General,No,No,BPL,No,Self Employed,Unemployed,119051,No,0.8886645453978964
50891,Skill India Mission,Other,28,Married,Bihar,Rural,SC,Yes,Yes,APL,No,Government Employed,Unemployed,294953,Yes,0.881140506916631
66515,Agri-Clinics and Agri-Business Centres,Other,33,Married,Uttar Pradesh,Rural,OBC,No,Yes,APL,No,Self Employed,Unemployed,223744,No,0.776961058027078
13308,Student Scholarship,Female,21,Unmarried,Maharashtra,Rural,General,No,No,BPL,Yes,Unemployed,Student,115803,No,0.6788535884561551
26242,Maternity Benefit,Female,27,Married,Uttar Pradesh,Urban,ST,Yes,No,BPL,No,Employed,Shopkeeper,51961,Yes,1.0
63810,Atal Pension Yojana,Female,24,Unmarried,Delhi,Urban,SC,No,No,APL,No,Private Employed,Labourer,210552,No,0.4715081577207122
78096,National Health Mission,Male,19,Married,Karnataka,Urban,SC,Yes,Yes,APL,No,Unemployed,Self Employed,1926324,No,0.7791397012050046
27060,Small Business Loan,Male,48,Widow,Andhra Pradesh,Urban,General,Yes,No,BPL,No,Self Employed,Auto Driver,127347,No,0.8894477917836663
